time,q1_dot,q2_dot,q3_dot,q4_dot,q5_dot,q6_dot,q7_dot
13.5,-0.22895,0.0857654,-0.204575,0.0032037,0.198455,0.225996,0.0126749
13.6,-0.224449,0.0851071,-0.210784,0.00872656,0.209549,0.226099,0.0129993
13.7,-0.219582,0.0842778,-0.217189,0.0144509,0.220929,0.226084,0.0133388
13.8,-0.214606,0.0833165,-0.223448,0.0200548,0.231973,0.225944,0.0136738
13.9,-0.209242,0.0821638,-0.229904,0.0258285,0.243276,0.225665,0.0140211
14,-0.203494,0.0808063,-0.23654,0.0317464,0.25482,0.225233,0.0143846
14.1,-0.197346,0.0792245,-0.243358,0.0377904,0.266602,0.224632,0.0147662
14.2,-0.191154,0.0775028,-0.249972,0.0435997,0.27795,0.223891,0.0151442
14.3,-0.187227,0.0748808,-0.258696,0.0514103,0.28533,0.222662,0.0162814
14.4,-0.186824,0.0735761,-0.260118,0.0591269,0.290989,0.222186,0.0177717
14.5,-0.186693,0.0726022,-0.259457,0.0673031,0.297387,0.221839,0.0194481
14.6,-0.186367,0.0716506,-0.258642,0.0751977,0.3,0.221405,0.0211512
14.7,-0.185818,0.0707383,-0.257619,0.0831609,0.3,0.22085,0.022973
14.8,-0.185169,0.0700468,-0.256604,0.089797,0.3,0.220282,0.024589
14.9,-0.184404,0.0694643,-0.255521,0.0959793,0.3,0.219657,0.0261809
15,-0.183273,0.0688541,-0.254017,0.103461,0.3,0.218774,0.0282239
15.1,-0.181827,0.0683292,-0.252203,0.111332,0.3,0.217675,0.030527
15.2,-0.183509,0.0670641,-0.249046,0.118829,0.3,0.21583,0.0327628
15.3,-0.186078,0.0656759,-0.245768,0.125205,0.3,0.213816,0.0348185
15.4,-0.188987,0.0641396,-0.241932,0.132204,0.3,0.211313,0.0373096
15.5,-0.191787,0.0627038,-0.23813,0.138699,0.3,0.208677,0.0398732
15.6,-0.194782,0.0612513,-0.233917,0.145404,0.3,0.205601,0.0428042
15.7,-0.197351,0.0600579,-0.230227,0.150915,0.3,0.202752,0.0454718
15.8,-0.199953,0.0589281,-0.226392,0.156296,0.3,0.19966,0.0483269
15.9,-0.20275,0.0578252,-0.222149,0.16186,0.3,0.196098,0.0515732
16,-0.205743,0.0567919,-0.217466,0.167562,0.3,0.192004,0.0552595
16.1,-0.208768,0.055916,-0.212591,0.17305,0.3,0.187564,0.0592147
16.2,-0.211654,0.0552483,-0.207816,0.178018,0.3,0.18304,0.0632093
16.3,-0.214888,0.0547558,-0.202273,0.183296,0.3,0.177609,0.0679656
16.4,-0.217983,0.0545045,-0.196851,0.188012,0.3,0.172074,0.0727841
16.5,-0.221096,0.0545062,-0.191267,0.192424,0.3,0.166163,0.0779059
16.6,-0.224225,0.0547808,-0.185536,0.19651,0.3,0.159878,0.083336
16.7,-0.227369,0.0553433,-0.179675,0.200248,0.3,0.15322,0.089079
16.8,-0.230185,0.0560755,-0.174374,0.203269,0.3,0.146985,0.0944585
16.9,-0.233185,0.0571457,-0.168658,0.206137,0.3,0.140062,0.100437
17,-0.236388,0.0585675,-0.162537,0.20879,0.3,0.132387,0.107085
17.1,-0.239445,0.0601817,-0.156709,0.210925,0.3,0.124823,0.113666
17.2,-0.242716,0.0621919,-0.150506,0.212776,0.3,0.116502,0.120947
17.3,-0.246026,0.0645194,-0.144292,0.214191,0.3,0.107884,0.128542
17.4,-0.249395,0.0671248,-0.138081,0.215181,0.3,0.0989703,0.13647
17.5,-0.246895,0.0712494,-0.133602,0.216164,0.3,0.0913486,0.144433
17.6,-0.241806,0.0763596,-0.129763,0.216907,0.3,0.083824,0.152955
17.7,-0.236462,0.0817855,-0.125796,0.217385,0.3,0.0757566,0.159462
17.8,-0.231056,0.0873359,-0.121688,0.217635,0.3,0.0673268,0.161767
17.9,-0.225576,0.0930547,-0.117961,0.217393,0.3,0.0589857,0.163914
18,-0.220053,0.0988996,-0.114636,0.216684,0.3,0.0507703,0.165893
18.1,-0.214518,0.104832,-0.11172,0.215541,0.3,0.0427065,0.1677
18.2,-0.2093,0.110475,-0.109342,0.214096,0.3,0.0352487,0.169244
18.3,-0.203824,0.116484,-0.107224,0.212184,0.3,0.027545,0.170705
18.4,-0.198407,0.122468,-0.105502,0.209941,0.3,0.0200471,0.171987
18.5,-0.192797,0.128753,-0.10411,0.207214,0.3,0.0123773,0.173147
18.6,-0.187585,0.134622,-0.103168,0.204358,0.3,0.00534771,0.174065
18.7,-0.182504,0.140399,-0.102578,0.201244,0.3,-0.00144154,0.174809
18.8,-0.177573,0.146065,-0.10232,0.197899,0.3,-0.00798554,0.175385
18.9,-0.172808,0.151604,-0.102373,0.194343,0.3,-0.0142817,0.175796
19,-0.168224,0.157005,-0.102713,0.190597,0.3,-0.0203293,0.176049
19.1,-0.163834,0.162257,-0.103316,0.186681,0.3,-0.0261292,0.176148
19.2,-0.159439,0.167638,-0.104223,0.182361,0.3,-0.0319888,0.176095
19.3,-0.15331,0.172974,-0.102471,0.179501,0.3,-0.0364649,0.175724
19.4,-0.145676,0.178298,-0.0988941,0.177507,0.3,-0.0400827,0.17502
