time,q1,q2,q3,q4,q5,q6,q7
6.4,0.618526,-0.686225,-0.0156854,1.58985,0.163482,0.710913,-0.114363
6.5,0.620729,-0.682268,-0.0160704,1.592,0.166666,0.709318,-0.116773
6.6,0.623069,-0.678099,-0.0164862,1.59425,0.170051,0.70762,-0.119341
6.7,0.625246,-0.67425,-0.0168803,1.59629,0.173208,0.706034,-0.121744
6.8,0.627455,-0.670373,-0.0172865,1.59833,0.176416,0.704421,-0.124191
6.9,0.629692,-0.666476,-0.0177043,1.60036,0.179669,0.702785,-0.126679
7,0.63195,-0.66257,-0.0181325,1.60237,0.182958,0.701129,-0.129201
7.1,0.634351,-0.658447,-0.0185945,1.60447,0.186461,0.699365,-0.131894
7.2,0.636589,-0.654637,-0.0190325,1.60638,0.189732,0.697717,-0.134416
7.3,0.63886,-0.650797,-0.0194835,1.60829,0.193057,0.696042,-0.136986
7.4,0.641161,-0.646936,-0.019947,1.61019,0.196431,0.694342,-0.139601
7.5,0.643484,-0.643068,-0.0204217,1.61207,0.199844,0.692624,-0.142253
7.6,0.645825,-0.639199,-0.0209069,1.61393,0.203289,0.69089,-0.144938
7.7,0.648182,-0.635333,-0.0214024,1.61576,0.206764,0.689141,-0.147653
7.8,0.650554,-0.631472,-0.021908,1.61757,0.210267,0.68738,-0.150398
7.9,0.65294,-0.627618,-0.0224237,1.61935,0.213798,0.685607,-0.153172
8,0.65534,-0.62377,-0.022949,1.62111,0.217356,0.683823,-0.155974
8.1,0.657754,-0.619931,-0.0234845,1.62284,0.220941,0.682027,-0.158806
8.2,0.660317,-0.615886,-0.0240609,1.62464,0.224755,0.680118,-0.161828
8.3,0.662704,-0.612153,-0.0246054,1.62627,0.228315,0.678341,-0.164656
8.4,0.665125,-0.608395,-0.0251647,1.6279,0.231933,0.676538,-0.167539
8.5,0.667578,-0.604618,-0.0257382,1.62951,0.235605,0.674712,-0.170472
8.6,0.670054,-0.600835,-0.0263244,1.6311,0.239319,0.67287,-0.173448
8.7,0.672687,-0.596842,-0.0269552,1.63276,0.243277,0.670912,-0.176627
8.8,0.675141,-0.593154,-0.0275512,1.63426,0.246975,0.669086,-0.179607
8.9,0.677633,-0.589439,-0.0281634,1.63576,0.250738,0.667235,-0.182647
9,0.680158,-0.585705,-0.0287909,1.63724,0.254557,0.665362,-0.185742
9.1,0.682706,-0.581965,-0.0294311,1.6387,0.25842,0.663473,-0.188881
9.2,0.685417,-0.578018,-0.0301204,1.64022,0.262541,0.661464,-0.192238
9.3,0.687945,-0.574372,-0.0307713,1.64159,0.266393,0.659595,-0.195386
9.4,0.690512,-0.570701,-0.0314393,1.64296,0.270311,0.6577,-0.198598
9.5,0.693112,-0.567011,-0.0321234,1.64431,0.27429,0.655783,-0.201868
9.6,0.695738,-0.563316,-0.0328218,1.64564,0.278318,0.653851,-0.205188
9.7,0.698532,-0.559417,-0.0335728,1.64702,0.282614,0.6518,-0.208739
9.8,0.701136,-0.555816,-0.0342806,1.64826,0.286628,0.649893,-0.212066
9.9,0.703779,-0.55219,-0.0350066,1.6495,0.290713,0.647961,-0.215462
10,0.706457,-0.548547,-0.0357495,1.65072,0.294862,0.646008,-0.218921
10.1,0.709311,-0.544696,-0.0365487,1.65199,0.299293,0.643933,-0.222625
10.2,0.711975,-0.541137,-0.0373032,1.65313,0.303442,0.642002,-0.226104
10.3,0.714681,-0.537551,-0.0380768,1.65426,0.307666,0.640046,-0.229656
10.4,0.717573,-0.533749,-0.0389113,1.65544,0.312193,0.637961,-0.233473
10.5,0.720279,-0.530226,-0.0397003,1.6565,0.316442,0.636018,-0.237066
10.6,0.723031,-0.526675,-0.0405098,1.65756,0.320773,0.634049,-0.240739
10.7,0.72582,-0.523104,-0.041338,1.65859,0.325176,0.632059,-0.244484
10.8,0.728639,-0.519528,-0.0421822,1.65961,0.329637,0.630057,-0.248288
10.9,0.731637,-0.515755,-0.0430878,1.66065,0.334395,0.627935,-0.252357
11,0.734432,-0.512273,-0.0439407,1.66159,0.338847,0.625965,-0.256175
11.1,0.737271,-0.508768,-0.0448138,1.66252,0.343379,0.623973,-0.260074
11.2,0.740146,-0.505247,-0.0457056,1.66342,0.347985,0.621964,-0.264046
11.3,0.743048,-0.501723,-0.0466127,1.66431,0.352647,0.619946,-0.268077
11.4,0.745976,-0.498203,-0.0475355,1.66516,0.357364,0.617919,-0.272168
11.5,0.749086,-0.494494,-0.0485233,1.66604,0.362391,0.615777,-0.276539
11.6,0.751983,-0.491074,-0.0494518,1.66683,0.367091,0.613792,-0.280639
11.7,0.754924,-0.487633,-0.0504011,1.6676,0.371876,0.611788,-0.284824
11.8,0.757902,-0.484179,-0.0513695,1.66835,0.376738,0.60977,-0.289088
11.9,0.760909,-0.480723,-0.0523543,1.66907,0.381663,0.607743,-0.293419
12,0.764106,-0.477079,-0.0534085,1.66981,0.386917,0.6056,-0.298051
12.1,0.767086,-0.473718,-0.0543989,1.67047,0.391833,0.603615,-0.302398
12.2,0.770111,-0.470336,-0.0554107,1.6711,0.39684,0.601613,-0.306838
12.3,0.773175,-0.466941,-0.0564422,1.67172,0.401929,0.599599,-0.311362
12.4,0.776267,-0.463545,-0.05749,1.67231,0.407085,0.597578,-0.315957
12.5,0.779557,-0.459965,-0.0586114,1.67291,0.412589,0.595442,-0.320877
12.6,0.782621,-0.456663,-0.0596629,1.67344,0.417736,0.593468,-0.32549
12.7,0.78573,-0.453342,-0.060736,1.67395,0.422979,0.591478,-0.330201
12.8,0.788879,-0.450009,-0.0618287,1.67443,0.428308,0.589477,-0.335003
