time,q1,q2,q3,q4,q5,q6,q7
6.3,0.554666,-0.78481,-0.00689441,1.50375,0.0724817,0.718661,-0.0493422
6.4,0.555915,-0.782663,-0.00703621,1.5057,0.0741482,0.718522,-0.0505038
6.5,0.558466,-0.778235,-0.00732846,1.50964,0.077553,0.718153,-0.052882
6.6,0.559749,-0.776,-0.00747604,1.51161,0.0792673,0.717954,-0.0540803
6.7,0.561024,-0.773773,-0.00762411,1.51355,0.0809707,0.717728,-0.0552736
6.8,0.563624,-0.769196,-0.00792949,1.51745,0.0844486,0.717191,-0.0577154
6.9,0.564932,-0.766886,-0.00808376,1.51941,0.0861995,0.716908,-0.0589457
7,0.566231,-0.76459,-0.0082388,1.52132,0.0879394,0.716602,-0.060171
7.1,0.567547,-0.762254,-0.00839713,1.52325,0.0897031,0.716267,-0.0614151
7.2,0.579677,-0.740568,-0.00988036,1.54073,0.105988,0.712788,-0.0729372
7.3,0.600577,-0.704128,-0.0125598,1.56918,0.134111,0.706244,-0.0930135
7.4,0.614733,-0.680899,-0.0145112,1.58632,0.153271,0.701372,-0.106921
7.5,0.62423,-0.666001,-0.0158914,1.59675,0.166206,0.697833,-0.116441
7.6,0.630843,-0.655852,-0.0168943,1.60348,0.175274,0.69513,-0.123191
7.7,0.635711,-0.648402,-0.017663,1.60814,0.181995,0.6929,-0.128246
7.8,0.639532,-0.642489,-0.018292,1.61161,0.187313,0.690921,-0.132285
7.9,0.642732,-0.637456,-0.0188399,1.61439,0.191799,0.68907,-0.135722
8,0.645565,-0.632927,-0.0193426,1.61677,0.195797,0.687278,-0.138811
8.1,0.64834,-0.62844,-0.0198496,1.61902,0.199735,0.685411,-0.141872
8.2,0.650779,-0.62447,-0.0203079,1.62094,0.203214,0.683691,-0.144592
8.3,0.653168,-0.620569,-0.0207665,1.62277,0.206633,0.681953,-0.147279
8.4,0.655537,-0.616699,-0.0212295,1.62455,0.210034,0.680198,-0.149961
8.5,0.65803,-0.612638,-0.0217249,1.62638,0.213622,0.678327,-0.1528
8.6,0.660344,-0.608893,-0.0221924,1.62804,0.216961,0.67658,-0.155452
8.7,0.662679,-0.605132,-0.0226708,1.62968,0.220338,0.674807,-0.158141
8.8,0.665036,-0.601358,-0.0231603,1.63131,0.223752,0.673011,-0.160869
8.9,0.667541,-0.597369,-0.0236873,1.633,0.22739,0.671099,-0.163783
9,0.669885,-0.593675,-0.0241869,1.63454,0.230799,0.669311,-0.166522
9.1,0.672257,-0.589957,-0.0246992,1.63608,0.234257,0.667499,-0.169309
9.2,0.67479,-0.586014,-0.0252529,1.63768,0.237957,0.665562,-0.172299
9.3,0.677163,-0.582354,-0.0257781,1.63914,0.24143,0.663751,-0.175113
9.4,0.679703,-0.578462,-0.0263469,1.64068,0.245155,0.66181,-0.17814
9.5,0.68209,-0.574837,-0.0268879,1.64208,0.248664,0.65999,-0.180999
9.6,0.684514,-0.571177,-0.027444,1.64348,0.252235,0.658139,-0.183918
9.7,0.686971,-0.567493,-0.028014,1.64487,0.255861,0.656264,-0.18689
9.8,0.689453,-0.5638,-0.0285964,1.64624,0.259532,0.654371,-0.189907
9.9,0.692093,-0.5599,-0.0292224,1.64766,0.263446,0.65236,-0.193133
10,0.694564,-0.55629,-0.0298149,1.64895,0.267117,0.650485,-0.196166
10.1,0.697066,-0.552658,-0.0304214,1.65023,0.270842,0.648586,-0.199254
10.2,0.699596,-0.549011,-0.0310416,1.6515,0.274618,0.646668,-0.202393
10.3,0.702149,-0.545359,-0.0316739,1.65274,0.278437,0.644736,-0.205576
10.4,0.704863,-0.541505,-0.0323527,1.65403,0.282506,0.642685,-0.208977
10.5,0.707402,-0.537939,-0.0329945,1.6552,0.286323,0.640775,-0.212176
10.6,0.709972,-0.534354,-0.0336507,1.65635,0.290195,0.638843,-0.215431
10.7,0.712715,-0.530554,-0.0343583,1.65755,0.294338,0.636784,-0.218923
10.8,0.715286,-0.527029,-0.0350278,1.65864,0.29823,0.634864,-0.222214
10.9,0.717892,-0.523479,-0.035713,1.65972,0.302185,0.632919,-0.225567
11,0.720528,-0.519913,-0.036413,1.66078,0.306198,0.630956,-0.228979
11.1,0.72319,-0.516341,-0.0371261,1.66182,0.310259,0.628979,-0.232441
11.2,0.725872,-0.512771,-0.0378513,1.66283,0.314362,0.626993,-0.235949
11.3,0.728722,-0.509007,-0.0386283,1.66388,0.318731,0.62489,-0.239695
11.4,0.731091,-0.505915,-0.0392799,1.66472,0.322375,0.623152,-0.242827
11.5,0.734045,-0.502063,-0.0401005,1.66575,0.326931,0.620979,-0.246756
11.6,0.736789,-0.498533,-0.0408683,1.66667,0.331174,0.618978,-0.250424
11.7,0.739545,-0.495018,-0.0416458,1.66755,0.335447,0.616976,-0.254128
11.8,0.742318,-0.491508,-0.0424347,1.66842,0.339759,0.614968,-0.257876
11.9,0.745262,-0.487812,-0.0432791,1.66931,0.344351,0.612845,-0.261879
12,0.748014,-0.484396,-0.044074,1.6701,0.348654,0.610874,-0.26564
12.1,0.750796,-0.480964,-0.0448842,1.67088,0.353018,0.608886,-0.269466
12.2,0.753606,-0.477522,-0.0457092,1.67164,0.357441,0.606885,-0.273354
12.3,0.756599,-0.473886,-0.046594,1.67242,0.362164,0.604765,-0.277516
12.4,0.758995,-0.462982,-0.0461501,1.68878,0.363185,0.610832,-0.277896
12.5,0.761505,-0.453852,-0.0459921,1.70115,0.36507,0.614794,-0.279216
12.6,0.763867,-0.447696,-0.0461523,1.70782,0.367678,0.616086,-0.281406
12.7,0.766029,-0.443264,-0.0464438,1.71154,0.37047,0.616119,-0.283872
12.8,0.768621,-0.43872,-0.0468884,1.71449,0.374085,0.615439,-0.287133
12.9,0.771249,-0.434681,-0.0473986,1.71642,0.377932,0.614283,-0.290649
13,0.773891,-0.430941,-0.0479422,1.71778,0.381899,0.612887,-0.294303
13.1,0.776105,-0.427972,-0.0484132,1.71864,0.385276,0.611608,-0.29743
13.2,0.778938,-0.42428,-0.0490372,1.71954,0.389661,0.609871,-0.301502
13.3,0.781738,-0.42074,-0.0496585,1.72026,0.394023,0.608127,-0.305567
13.4,0.784506,-0.417315,-0.050276,1.72088,0.398357,0.606393,-0.309619
13.5,0.787258,-0.41396,-0.0508925,1.72143,0.402687,0.604665,-0.313679
13.6,0.790004,-0.41065,-0.0515099,1.72192,0.407024,0.602942,-0.317758
13.7,0.792748,-0.407371,-0.0521292,1.72238,0.411379,0.601224,-0.321863
13.8,0.795648,-0.403934,-0.0527853,1.72282,0.415998,0.599417,-0.326231
13.9,0.798195,-0.400945,-0.05336,1.72318,0.420066,0.597846,-0.330088
14,0.800814,-0.39788,-0.0539561,1.72353,0.424272,0.596227,-0.334085
14.1,0.803807,-0.394395,-0.0546416,1.72391,0.429104,0.594379,-0.338687
14.2,0.806571,-0.391215,-0.0552706,1.72422,0.433576,0.5927,-0.342959
14.3,0.809495,-0.387873,-0.0559367,1.72453,0.438325,0.590935,-0.347506
14.4,0.81222,-0.384785,-0.056555,1.72479,0.442764,0.589309,-0.351768
14.5,0.815123,-0.381509,-0.0572156,1.72505,0.447515,0.587583,-0.356341
14.6,0.817842,-0.378465,-0.057832,1.72527,0.451978,0.585984,-0.360648
14.7,0.820593,-0.375397,-0.0584576,1.72547,0.456518,0.584373,-0.36504
14.8,0.823372,-0.372314,-0.0590906,1.72565,0.461126,0.582754,-0.369508
14.9,0.826171,-0.369229,-0.059728,1.72581,0.465786,0.581135,-0.374035
15,0.828986,-0.366148,-0.0603688,1.72594,0.470495,0.579519,-0.378621
15.1,0.831813,-0.363076,-0.0610114,1.72606,0.475246,0.577911,-0.383258
15.2,0.834649,-0.360014,-0.061655,1.72615,0.480034,0.576311,-0.387941
15.3,0.837493,-0.356964,-0.0622991,1.72622,0.484857,0.574721,-0.39267
15.4,0.840344,-0.353927,-0.0629431,1.72626,0.489715,0.573141,-0.397443
15.5,0.843202,-0.350902,-0.0635868,1.72629,0.494606,0.571572,-0.40226
