time,q1_dot,q2_dot,q3_dot,q4_dot,q5_dot,q6_dot,q7_dot
6.4,0.25673,0.447128,-0.0295174,0.39481,0.34286,-0.0398271,-0.23966
6.5,0.254931,0.445286,-0.0296126,0.387209,0.340678,-0.0450802,-0.238645
6.6,0.258262,0.453585,-0.0302225,0.389215,0.345385,-0.0508633,-0.24231
6.7,0.261663,0.461902,-0.0308544,0.391303,0.350193,-0.0565742,-0.246057
6.8,0.259799,0.459259,-0.031008,0.383415,0.347976,-0.0613107,-0.245068
6.9,0.263139,0.467141,-0.0316655,0.385165,0.352732,-0.0669093,-0.248815
7,0.266551,0.475057,-0.0323454,0.387003,0.357593,-0.072446,-0.252647
7.1,0.26993,0.482767,-0.0330376,0.388692,0.362421,-0.0779176,-0.256471
7.2,0.230005,0.400308,-0.0295795,0.311834,0.309547,-0.0724058,-0.221105
7.3,0.153015,0.249737,-0.0212172,0.183313,0.207196,-0.0530631,-0.150607
7.4,0.102724,0.160587,-0.0149896,0.11184,0.139992,-0.0385091,-0.10315
7.5,0.0717633,0.109949,-0.0109169,0.0726263,0.098444,-0.0295352,-0.0733445
7.6,0.0530429,0.0811795,-0.00840238,0.0505636,0.0732864,-0.0245008,-0.0551564
7.7,0.041838,0.0647843,-0.00690469,0.0378936,0.0582471,-0.0218361,-0.044263
7.8,0.0351824,0.0554077,-0.00603976,0.0304952,0.0493476,-0.0204978,-0.0378373
7.9,0.0312602,0.0500218,-0.00555961,0.0261013,0.0441392,-0.0198731,-0.0341104
8,0.0289738,0.0469089,-0.00531097,0.0234356,0.0411392,-0.0196222,-0.0320023
8.1,0.0269933,0.0439372,-0.00507874,0.0211729,0.038505,-0.0190908,-0.0301218
8.2,0.0265115,0.0433149,-0.00509667,0.0203163,0.0379572,-0.0193192,-0.0298302
8.3,0.0263035,0.0429634,-0.00515083,0.0197203,0.0377721,-0.019527,-0.0298008
8.4,0.0262299,0.042717,-0.00522218,0.0192414,0.0377644,-0.0197073,-0.029899
8.5,0.0256865,0.0415486,-0.00519215,0.0184002,0.0370658,-0.0193966,-0.0294394
8.6,0.0259571,0.041802,-0.00532297,0.0182343,0.0375387,-0.0197177,-0.0299071
8.7,0.0261956,0.041944,-0.00544555,0.0180341,0.0379618,-0.0199656,-0.0303333
8.8,0.0263962,0.0419854,-0.00555967,0.0177974,0.0383292,-0.0201539,-0.0307144
8.9,0.026017,0.0409961,-0.00555022,0.0171191,0.0378522,-0.0198396,-0.0304174
9,0.0263812,0.0413286,-0.00570045,0.0170148,0.0384614,-0.02016,-0.0309963
9.1,0.0266771,0.0415133,-0.00583631,0.0168486,0.0389718,-0.0204031,-0.0314966
9.2,0.0263509,0.0406141,-0.00583459,0.0162348,0.038571,-0.0201065,-0.031259
9.3,0.0267534,0.0409883,-0.00599659,0.0161454,0.0392436,-0.0204424,-0.0318959
9.4,0.0265109,0.0402434,-0.00601229,0.0156043,0.0389674,-0.0202138,-0.0317598
9.5,0.0269652,0.0406939,-0.00618857,0.0155434,0.0397218,-0.0205855,-0.0324684
9.6,0.0273181,0.0409423,-0.00634201,0.0153998,0.0403279,-0.0208522,-0.0330572
9.7,0.0275913,0.04104,-0.00647768,0.0151947,0.0408187,-0.0210411,-0.0335532
9.8,0.027816,0.0410509,-0.00660287,0.0149545,0.0412403,-0.0211845,-0.0339945
9.9,0.0274328,0.0400594,-0.00658221,0.0143296,0.0407602,-0.0208145,-0.0336916
10,0.0278165,0.0403682,-0.00674885,0.014206,0.0414263,-0.0211083,-0.0343416
10.1,0.0281289,0.0405342,-0.00689839,0.0140262,0.041988,-0.0213257,-0.0349064
10.2,0.0283797,0.0405831,-0.00703313,0.0138006,0.0424599,-0.0214809,-0.0353982
10.3,0.0285924,0.040564,-0.00715908,0.0135489,0.0428779,-0.021599,-0.0358471
10.4,0.0281911,0.0395633,-0.00712893,0.0129444,0.0423748,-0.0212012,-0.0355243
10.5,0.0285757,0.0398551,-0.00730156,0.0128086,0.0430597,-0.0214786,-0.0362037
10.6,0.028891,0.0400086,-0.00745621,0.0126208,0.043642,-0.0216806,-0.0367979
10.7,0.0285481,0.0391176,-0.00743732,0.0120756,0.0432287,-0.0213214,-0.0365497
10.8,0.0289741,0.0394583,-0.00762358,0.0119517,0.0439874,-0.0216207,-0.0372993
10.9,0.0293158,0.0396374,-0.00778714,0.0117689,0.0446203,-0.0218311,-0.0379433
11,0.0295871,0.0396897,-0.00793184,0.0115409,0.0451488,-0.0219716,-0.0385001
11.1,0.0298147,0.0396685,-0.00806511,0.0112875,0.0456142,-0.0220704,-0.0390052
11.2,0.0300155,0.0396053,-0.00819156,0.0110203,0.0460425,-0.0221441,-0.0394807
11.3,0.0295875,0.0385956,-0.00814257,0.0104551,0.0455065,-0.0217,-0.0391269
11.4,0.0311842,0.0406555,-0.00866546,0.0108454,0.0480995,-0.0229361,-0.0414809
11.5,0.0304483,0.0391305,-0.00852303,0.0101265,0.0470855,-0.0221948,-0.040709
11.6,0.0306294,0.0390559,-0.00864615,0.00986054,0.0475001,-0.0222505,-0.0411828
11.7,0.0308216,0.0389945,-0.00877236,0.0095991,0.0479353,-0.02231,-0.0416765
11.8,0.031002,0.0389071,-0.00889468,0.00932891,0.0483557,-0.0223523,-0.0421588
11.9,0.0305463,0.0378973,-0.00882857,0.00880013,0.047783,-0.0218747,-0.0417709
12,0.0309305,0.0381415,-0.00901276,0.00863306,0.0485325,-0.0220942,-0.0425479
12.1,0.03125,0.0382591,-0.00917601,0.00842406,0.0491829,-0.0222408,-0.0432384
12.2,0.0315098,0.0382705,-0.00932028,0.00818122,0.0497431,-0.022326,-0.0438503
12.3,0.0263381,0.12603,0.00576984,0.192065,0.00908136,0.0726924,-0.00189264
12.4,0.0264377,0.0925805,0.00117997,0.122832,0.0211107,0.0380545,-0.0152992
12.5,0.0262312,0.0669863,-0.00195361,0.071297,0.0294454,0.0129619,-0.024867
12.6,0.0270697,0.0546225,-0.00375685,0.0447965,0.0352537,-0.000424669,-0.0312244
12.7,0.0290178,0.0499687,-0.00508812,0.0312714,0.0407882,-0.0084391,-0.0368545
12.8,0.0292178,0.0445841,-0.00570249,0.0208824,0.0428586,-0.0131013,-0.0392016
12.9,0.0293645,0.0413799,-0.00606015,0.0148589,0.0441459,-0.0156583,-0.0406792
13,0.0295238,0.0394559,-0.00629609,0.0112113,0.0450876,-0.0171498,-0.0417629
13.1,0.031598,0.0411059,-0.00697022,0.00983069,0.0489408,-0.0194331,-0.0454577
13.2,0.0310795,0.0392289,-0.00689979,0.00800408,0.0484333,-0.0193642,-0.0451406
13.3,0.0307402,0.037995,-0.00685836,0.00680641,0.0481502,-0.0192667,-0.0450203
13.4,0.0305681,0.0372353,-0.00684996,0.00601127,0.0481018,-0.0191969,-0.0451109
13.5,0.0304999,0.0367478,-0.00686064,0.00544824,0.0482008,-0.0191384,-0.0453336
13.6,0.0304947,0.0364139,-0.00688169,0.00501796,0.0483908,-0.0190821,-0.0456377
13.7,0.0305276,0.0361665,-0.00690799,0.00466351,0.0486371,-0.019024,-0.0459923
13.8,0.0299297,0.0351002,-0.00675186,0.00419969,0.0478047,-0.0184512,-0.0453404
13.9,0.0308621,0.0361198,-0.00702928,0.00413503,0.0495875,-0.019085,-0.0471322
14,0.0315388,0.036719,-0.00722599,0.00397709,0.050935,-0.0194649,-0.0485145
14.1,0.030668,0.0352468,-0.00697572,0.00347142,0.0496186,-0.0186151,-0.0473957
14.2,0.0307809,0.035174,-0.00701285,0.00323336,0.0500092,-0.0185779,-0.0478889
14.3,0.0302482,0.0342622,-0.0068617,0.0028715,0.0492787,-0.0180379,-0.0473241
14.4,0.030577,0.0345021,-0.00695888,0.00269731,0.0500542,-0.0181723,-0.0481847
14.5,0.0301844,0.0337794,-0.00684251,0.00237461,0.0495658,-0.0177359,-0.0478447
14.6,0.0305936,0.0341078,-0.00695771,0.00220753,0.0504929,-0.0179161,-0.0488509
14.7,0.0308991,0.0342596,-0.00703716,0.00199886,0.0512407,-0.0179922,-0.049685
14.8,0.031119,0.0342807,-0.00708797,0.00176289,0.0518423,-0.0179901,-0.0503798
14.9,0.0312872,0.0342288,-0.00712171,0.0015095,0.0523592,-0.0179464,-0.0509953
15,0.0314145,0.034133,-0.00714118,0.00125761,0.0528084,-0.0178676,-0.0515478
15.1,0.0315186,0.0340138,-0.00715212,0.00100389,0.0532225,-0.0177716,-0.0520685
15.2,0.0316073,0.0338812,-0.0071567,0.000749965,0.053615,-0.0176642,-0.0525703
15.3,0.0316852,0.0337408,-0.00715613,0.000496571,0.0539944,-0.0175483,-0.053061
15.4,0.0317554,0.0335957,-0.00715111,0.000243949,0.0543656,-0.0174259,-0.0535452
15.5,0.0318198,0.0334476,-0.00714203,-7.88624e-06,0.0547318,-0.0172978,-0.0540259
15.6,0.0312151,0.0324975,-0.00693636,-0.000324715,0.0538669,-0.0166986,-0.0533105
15.7,0.03149,0.032667,-0.0069888,-0.000522071,0.054637,-0.0167424,-0.0541912
15.8,0.0310457,0.0319443,-0.00682661,-0.000800478,0.0540684,-0.0162679,-0.0537625
15.9,0.0314129,0.0322225,-0.0068996,-0.000992295,0.0550239,-0.0163668,-0.0548266
16,0.0316814,0.0323395,-0.00693654,-0.00121734,0.0557987,-0.0163726,-0.0557114
16.1,0.0318667,0.0323362,-0.00694419,-0.0014629,0.056423,-0.016308,-0.0564482
16.2,0.0319969,0.0322641,-0.00693245,-0.0017166,0.0569504,-0.0162008,-0.0570908
16.3,0.0320906,0.0321534,-0.0069074,-0.00197233,0.0574158,-0.0160676,-0.0576741
16.4,0.0314971,0.0312536,-0.00668391,-0.00225863,0.0565649,-0.0154829,-0.0569574
16.5,0.0311148,0.0306705,-0.00652507,-0.00249321,0.0561239,-0.0150691,-0.0566507
16.6,0.0321669,0.0317511,-0.00677032,-0.00266656,0.0584765,-0.0155855,-0.0591173
16.7,0.0329088,0.0323687,-0.00691208,-0.00291549,0.0602341,-0.0158454,-0.0609871
16.8,0.0320715,0.031131,-0.00660172,-0.00324397,0.058899,-0.0150775,-0.0597745
16.9,0.0328116,0.0318027,-0.00674059,-0.00347038,0.0606877,-0.015349,-0.0616893
17,0.0326713,0.0314223,-0.00662415,-0.00374536,0.060738,-0.0150405,-0.0618638
17.1,0.032562,0.0311082,-0.00651623,-0.00400412,0.0608569,-0.014763,-0.0621101
17.2,0.0324889,0.0308581,-0.00641711,-0.00425065,0.0610549,-0.0145151,-0.062438
17.3,0.0324378,0.0306397,-0.00632176,-0.00449771,0.0613037,-0.0142839,-0.0628179
17.4,0.0324009,0.030444,-0.00622686,-0.00474101,0.0615857,-0.0140598,-0.0632319
17.5,0.0317124,0.0295368,-0.00595494,-0.00496766,0.0605363,-0.0134547,-0.0623018
17.6,0.0318973,0.0296523,-0.00591784,-0.00517314,0.0612836,-0.0133777,-0.0631914
17.7,0.0320277,0.0296706,-0.00585779,-0.00540218,0.0619228,-0.0132497,-0.0639686
17.8,0.0321029,0.0296065,-0.00577665,-0.00564645,0.0624535,-0.0130781,-0.0646341
17.9,0.0321425,0.0294942,-0.00568185,-0.00590162,0.0629179,-0.0128829,-0.0652325
18,0.0315042,0.0286542,-0.00541152,-0.00612246,0.0619559,-0.0123157,-0.0643787
18.1,0.0317023,0.02878,-0.00535501,-0.00634417,0.062769,-0.0122229,-0.0653394
18.2,0.0318337,0.0288015,-0.00527334,-0.00658573,0.063446,-0.0120768,-0.0661587
18.3,0.0319023,0.0287374,-0.0051696,-0.00683899,0.0639956,-0.0118871,-0.0668465
18.4,0.0319305,0.0286237,-0.00505161,-0.00710057,0.0644666,-0.0116734,-0.0674544
18.5,0.0319257,0.0284825,-0.00492105,-0.00735431,0.0648713,-0.0114384,-0.0679953
18.6,0.0319001,0.0283253,-0.00478196,-0.00760626,0.0652377,-0.0111923,-0.0684978
18.7,0.0318607,0.0281562,-0.0046365,-0.00786166,0.0655813,-0.0109406,-0.0689779
18.8,0.0318087,0.0279852,-0.00448404,-0.00810766,0.065901,-0.0106798,-0.0694343
18.9,0.0311104,0.0271485,-0.00418671,-0.00828394,0.0647782,-0.010117,-0.068401
19,0.0312434,0.0272348,-0.00407444,-0.00851097,0.0655225,-0.0099614,-0.0693026
19.1,0.031319,0.0272298,-0.00394118,-0.00875611,0.0661422,-0.0097637,-0.0700724
19.2,0.0313384,0.0271482,-0.00378937,-0.00901132,0.0666398,-0.00953087,-0.0707142
19.3,0.0313189,0.0270221,-0.00362459,-0.00926867,0.0670543,-0.00927631,-0.0712698
19.4,0.0312722,0.0268709,-0.00345029,-0.00952456,0.0674121,-0.00900796,-0.0717671
19.5,0.0312064,0.0267052,-0.00326857,-0.00977782,0.0677304,-0.00873034,-0.0722241
19.6,0.0305051,0.0258982,-0.00296747,-0.00993956,0.0665625,-0.0082003,-0.0711305
19.7,0.0306098,0.0259705,-0.00281652,-0.0101747,0.0672866,-0.00800533,-0.0720172
19.8,0.0306567,0.0259544,-0.00264707,-0.0104264,0.0678789,-0.00777441,-0.0727636
19.9,0.030651,0.0258652,-0.00246274,-0.0106915,0.0683526,-0.00751705,-0.0733846
20,0.0306049,0.0257311,-0.0022668,-0.0109564,0.0687338,-0.00723989,-0.0739085
20.1,0.030531,0.025572,-0.00206254,-0.0112176,0.0690515,-0.00695032,-0.0743664
20.2,0.0304378,0.0253991,-0.00185195,-0.0114745,0.0693252,-0.00665267,-0.0747788
20.3,0.03033,0.0252212,-0.00163571,-0.0117217,0.0695638,-0.00634753,-0.075155
20.4,0.0302125,0.0250378,-0.00141531,-0.0119679,0.0697806,-0.00603899,-0.0755088
20.5,0.0300875,0.0248509,-0.00119119,-0.012213,0.0699804,-0.00572766,-0.0758451
20.6,0.0299566,0.0246617,-0.000963678,-0.0124573,0.0701659,-0.00541391,-0.0761668
20.7,0.0292253,0.0238902,-0.00066823,-0.0125658,0.0688306,-0.00493459,-0.0748785
20.8,0.02869,0.023366,-0.000402614,-0.0126682,0.0679733,-0.00452787,-0.0740985
20.9,0.0282959,0.0229984,-0.00015465,-0.0127843,0.0674619,-0.00416605,-0.0736843
21,0.0291204,0.023799,-9.97887e-06,-0.0132109,0.0700935,-0.0040946,-0.0766072
21.1,0.0290776,0.023667,0.000223401,-0.0135129,0.0704985,-0.00379328,-0.0771578
21.2,0.028402,0.0229289,0.000502832,-0.013652,0.0692473,-0.00335664,-0.0759455
21.3,0.0290303,0.0235013,0.000695473,-0.014086,0.0714171,-0.0031966,-0.0783837
21.4,0.0288532,0.0232406,0.00094661,-0.0143658,0.0714743,-0.00286179,-0.078566
